,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
87264,2023,AGOSTO,2023-08-02,13:05:52,2023.0,8,2023-08-01,5,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,UAT-AO-4,LOMAS DE BECERRA,LOMAS DE BECERRA,ALVARO OBREGON,ALVARO OBREGON,19.3840734871092,-99.2157429501003,2023-08-01 05:40:00,1,Tuesday,787
21621,2017,OCTUBRE,2017-10-17,00:00:00,2017.0,10,2017-10-14,10,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN ALVARO OBREGON,AO-1,LA MEXICANA,LOMAS DE NUEVO MEXICO,ALVARO OBREGON,ALVARO OBREGON,19.38326,-99.23505,2017-10-14 10:30:00,5,Saturday,798
83964,2023,FEBRERO,2023-02-17,15:32:25,2023.0,1,2023-01-23,16,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-6,CABEZA DE JUAREZ III,CHINAMPAC DE JUAREZ,IZTAPALAPA,IZTAPALAPA,19.3846158294028,-99.0411731597271,2023-01-23 16:50:00,0,Monday,1997
76818,2022,ABRIL,2022-04-04,00:00:00,2022.0,4,2022-04-04,14,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,LOMAS DE CAPULA,LOMAS DE CAPULA,ALVARO OBREGON,ALVARO OBREGON,19.37888,-99.21876,2022-04-04 14:10:00,0,Monday,749
69023,2021,MAYO,2021-05-23,00:00:00,2021.0,5,2021-05-23,3,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,OLIVAR DEL CONDE 1A SECCION,OLIVAR DEL CONDE 1RA SECCION,ALVARO OBREGON,ALVARO OBREGON,19.37535,-99.20624,2021-05-23 03:55:00,6,Sunday,802
54250,2019,SEPTIEMBRE,2019-09-02,00:00:00,2019.0,9,2019-09-01,18,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-9,CARLOS HANK GONZALEZ,CARLOS HANK GONZALEZ,IZTAPALAPA,IZTAPALAPA,19.33004,-99.0481,2019-09-01 18:45:00,6,Sunday,1993
18734,2017,AGOSTO,2017-08-15,00:00:00,2017.0,7,2017-07-24,9,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN CUAUHTEMOC,CUH-7,ROMA NORTE,ROMA NORTE,CUAUHTEMOC,CUAUHTEMOC,19.42038,-99.16377,2017-07-24 09:25:00,0,Monday,1861
86368,2023,JUNIO,2023-06-16,13:14:43,2023.0,6,2023-06-14,12,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-B,SAN JUAN DE ARAGON,EL OLIVO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.4742021773228,-99.0843589598577,2023-06-14 12:30:00,2,Wednesday,968
27207,2018,FEBRERO,2018-02-01,00:00:00,2018.0,1,2018-01-29,5,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN ALVARO OBREGON,AO-1,OLIVAR DEL CONDE 1A SECCION,OLIVAR DEL CONDE 1RA SECCION,ALVARO OBREGON,ALVARO OBREGON,19.37537,-99.20246,2018-01-29 05:00:00,0,Monday,840
67822,2021,ABRIL,2021-04-01,00:00:00,2021.0,4,2021-04-01,5,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN MIGUEL HIDALGO,MH-5,AMERICA,AMERICA,MIGUEL HIDALGO,MIGUEL HIDALGO,19.40508,-99.20334,2021-04-01 05:20:00,3,Thursday,753
