anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2021,Marzo,2021-03-04,00:00:00,2021.0,Enero,2021-01-03,07:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.42881,-99.14159,7.0,3,2,420.0,1938.0
2022,Junio,2022-06-01,00:00:00,2022.0,Mayo,2022-05-31,02:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,SANTA MARIA LA RIBERA,Santa Maria La Ribera,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4488,-99.15745,2.0,8,2,140.0,1929.0
2023,Enero,2023-01-12,22:46:15,2023.0,Enero,2023-01-11,09:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4356478935625,-99.1438316696217,3.0,3,2,540.0,1938.0
2021,Abril,2021-04-22,00:00:00,2021.0,Abril,2021-04-19,09:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-7,UI-3SD,HIPÓDROMO,Hipodromo,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4052,-99.1705,1.0,0,2,570.0,1673.0
2024,Enero,2024-01-12,11:54:00,2024.0,Enero,2024-01-12,11:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-2CD,DOCTORES,Doctores,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4081236198239,-99.151100810126,5.0,3,2,680.0,1938.0
2023,Febrero,2023-02-24,16:11:46,2023.0,Febrero,2023-02-16,18:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-1,UI-1SD,SANTA MARIA INSURGENTES,Santa Maria Insurgentes,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4637081832114,-99.1469856798649,4.0,4,2,1110.0,1836.0
2023,Marzo,2023-03-27,22:38:57,2023.0,Marzo,2023-03-26,16:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-2,UI-1SD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4341193796935,-99.14088313003,7.0,7,2,990.0,1889.0
2023,Mayo,2023-05-22,03:06:53,2023.0,Mayo,2023-05-22,02:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-3CD,CENTRO,Centro,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4259461814357,-99.13743853966,1.0,8,2,130.0,1929.0
2022,Octubre,2022-10-25,23:36:10,2022.0,Octubre,2022-10-25,20:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-8,UI-1SD,OBRERA,Obrera,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4140529230108,-99.1412678004344,2.0,10,2,1250.0,2321.0
2023,Enero,2023-01-29,11:42:50,2023.0,Enero,2023-01-28,16:40:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-2,UI-1SD,MORELOS,Morelos,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4467577497898,-99.127963899776,6.0,3,2,1000.0,1938.0
2022,Julio,2022-07-16,23:15:13,2022.0,Julio,2022-07-15,02:30:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,JUÁREZ,Juarez,CUAUHTEMOC,Cuauhtémoc,CDMX,19.4267180717653,-99.1624340295962,5.0,5,2,150.0,1873.0
2023,Julio,2023-07-06,17:41:17,2023.0,Julio,2023-07-06,13:30:00,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,JORGE NEGRETE,Jorge Negrete,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.5292097897669,-99.1444097800237,4.0,5,3,810.0,1046.0
2020,Diciembre,2020-12-01,00:00:00,2020.0,Diciembre,2020-12-01,06:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-6,UI-2CD,MARTÍN CARRERA,Martin Carrera,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48724,-99.10293,2.0,2,3,415.0,1097.0
2022,Septiembre,2022-09-25,22:09:28,2022.0,Septiembre,2022-09-24,22:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,RESIDENCIAL ACUEDUCTO DE GUADALUPE,Acueducto De Guadalupe,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.5301509874856,-99.1547973498706,6.0,11,3,1320.0,1115.0
2023,Enero,2023-01-20,22:26:17,2023.0,Enero,2023-01-20,21:12:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-2CD,ZONA ESCOLAR,Zona Escolar,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.5406478376673,-99.1460079695709,5.0,3,3,1272.0,1193.0
2023,Enero,2023-01-20,17:07:46,2023.0,Enero,2023-01-16,22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,PROVIDENCIA,Providencia,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.486937546733,-99.0741661202953,1.0,3,3,1350.0,1193.0
2023,Mayo,2023-05-13,13:54:22,2023.0,Mayo,2023-05-13,12:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,TLACAMACA,Tlacamaca,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.4756659472044,-99.1343262803588,6.0,8,3,770.0,1018.0
2021,Julio,2021-07-28,00:00:00,2021.0,Julio,2021-07-28,16:00:00,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,CAPULTITLAN,Capultitlan,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47584,-99.13498,3.0,5,3,960.0,1046.0
