anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2022,Agosto,01/08/2022,13:01:16,2022,Julio,29/07/2022,14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,GABRIEL HERNÁNDEZ,Gabriel Hernandez,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.50115151,-99.09745887,5,5,3,840,1046
2021,Septiembre,24/09/2021,00:00:00,2021,Septiembre,23/09/2021,19:45:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,SAN JUAN DE ARAGÓN IV SECCIÓN,San Juan De Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.46058,-99.06231,4,11,3,1185,1115
2022,Julio,11/07/2022,13:22:00,2022,Julio,11/07/2022,12:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,ESTRELLA,Estrella,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47712414,-99.11914855,1,5,3,760,1046
2022,Noviembre,03/11/2022,18:23:39,2022,Noviembre,03/11/2022,11:03:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-8,UI-2CD,SAN LORENZO,Barrio San Lorenzo,IZTAPALAPA,Iztapalapa,CDMX,19.30400426,-99.06953448,4,9,4,663,2025
2022,Enero,22/01/2022,00:00:00,2022,Enero,22/01/2022,19:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,GRANJAS ESMERALDA,Granjas Esmeralda,IZTAPALAPA,Iztapalapa,CDMX,19.35665,-99.11335,6,3,4,1140,2124
2023,Septiembre,12/09/2023,10:06:41,2023,Septiembre,12/09/2023,08:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,STCMZV,UI-3CD,ERMITA ZARAGOZA,Ermita Zaragoza,IZTAPALAPA,Iztapalapa,CDMX,19.3603533,-98.99524581,2,11,4,500,2005
2023,Noviembre,10/11/2023,02:51:33,2023,Noviembre,10/11/2023,02:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-5,UI-1CD,SANTA MARTHA ACATITLA SUR,Santa Martha Acatitla Sur,IZTAPALAPA,Iztapalapa,CDMX,19.3716862,-99.02391046,5,9,4,135,2025
2022,Mayo,15/05/2022,00:00:00,2022,Mayo,13/05/2022,06:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-9,UI-4SD,DESARROLLO URBANO QUETZALCOATL,Desarrollo Urbano Quetzalcoatl,IZTAPALAPA,Iztapalapa,CDMX,19.33567,-99.03846,5,8,4,360,2005
2021,Marzo,01/03/2021,00:00:00,2021,Febrero,28/02/2021,18:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-9,UI-2SD,SANTA CRUZ MEYEHUALCO,Pueblo Sta Cruz Meyehualco,IZTAPALAPA,Iztapalapa,CDMX,19.33798,-99.04267,7,4,4,1080,1974
2023,Agosto,01/08/2023,16:29:13,2023,Julio,28/07/2023,00:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-3,UI-1SD,ERMITA,Ermita,IZTAPALAPA,Iztapalapa,CDMX,19.35953678,-99.13939991,5,5,4,20,2058
